Date,Open,High,Low,Close,Adj Close,Volume
9/27/2021,6585,6595,6555,6580,6459.004883,55052500
9/28/2021,6540,6560,6500,6520,6400.10791,80186000
9/29/2021,6520,6580,6515,6580,6459.004883,74079000
9/30/2021,6600,7000,6595,7000,6871.281738,156848000
10/1/2021,6900,6900,6710,6760,6635.694824,103954500
10/4/2021,6740,6960,6740,6960,6832.01709,74719000
10/5/2021,6910,6945,6860,6945,6817.292969,54986500
10/6/2021,6980,7180,6970,7180,7047.97168,174312000
10/7/2021,7175,7175,7080,7160,7028.339355,107263500
10/8/2021,7200,7300,7175,7290,7155.949219,94643500
10/11/2021,7240,7290,7230,7255,7121.592773,47201000
10/12/2021,7255,7320,7245,7320,7185.397461,91067000
10/13/2021,7400,8250,7400,7525,7386.62793,210893300
10/14/2021,7600,7900,7600,7750,7607.490723,138811900
10/15/2021,7800,7875,7450,7650,7509.329102,142378200
10/18/2021,7650,7675,7475,7525,7386.62793,116644300
10/19/2021,7475,7525,7350,7500,7362.087402,134601200
10/21/2021,7500,7550,7350,7400,7263.92627,106120100
10/22/2021,7450,7550,7425,7525,7386.62793,96730700
10/25/2021,7400,7525,7400,7525,7386.62793,60329800
10/26/2021,7600,7600,7500,7525,7386.62793,70103000
10/27/2021,7575,7575,7425,7450,7313.007324,57067000
10/28/2021,7350,7425,7350,7375,7239.38623,75271900
10/29/2021,7450,7475,7375,7475,7337.547363,60639200
11/1/2021,7550,7550,7400,7400,7263.92627,38593400
11/2/2021,7375,7425,7250,7300,7165.765137,90535400
11/3/2021,7300,7400,7250,7350,7214.845703,61621500
11/4/2021,7425,7475,7375,7375,7239.38623,61081400
11/5/2021,7475,7475,7375,7450,7313.007324,43120400
11/8/2021,7500,7600,7450,7575,7435.708008,85441700
11/9/2021,7600,7675,7575,7675,7533.869629,101785800
11/10/2021,7675,7675,7575,7650,7509.329102,47503900
11/11/2021,7700,7750,7600,7675,7533.869629,55790000
11/12/2021,7750,7750,7525,7525,7386.62793,52590100
11/15/2021,7625,7625,7500,7500,7362.087402,67344200
11/16/2021,7400,7475,7325,7475,7337.547363,98616900
11/17/2021,7500,7575,7425,7575,7460.660156,61968100
11/18/2021,7425,7500,7400,7400,7288.301758,78839600
11/19/2021,7425,7450,7375,7425,7312.924316,68203700
11/22/2021,7425,7525,7400,7475,7362.169922,66328300
